"PDW","PWW","a","b"
0.310418904403867,0.626131953428202,0.281940231414227,0.0375836033115813
0.351902173913043,0.683823529411765,0.342274178932032,0.0508765745192254
0.304540420819491,0.641558441558442,0.276637791931482,0.0552156928268031
0.212347988774556,0.587272727272727,0.234049469528502,0.0514888237433207
0.218579234972678,0.580869565217391,0.300546235481448,0.067988860414601
0.186086956521739,0.543710021321962,0.281049110695024,0.0660050239939741
0.159090909090909,0.555555555555556,0.325001756668552,0.0694710749313323
0.1536,0.543735224586288,0.308191813164795,0.0773450827461929
0.173061224489796,0.461928934010152,0.427358937189593,0.0978703502956223
0.23021582733813,0.566835871404399,0.545536103936277,0.0864722642956523
0.275791624106231,0.597014925373134,0.453990870290318,0.0710819506203293
0.315904139433551,0.631043256997455,0.491724988936546,0.0622226259847259
