"PDW","PWW","a","b"
0.223175965665236,0.588607594936709,0.307925512730669,0.0290843083521316
0.287575150300601,0.552425665101721,0.346742919125132,0.0367166558967711
0.236074270557029,0.581102362204724,0.303407150742525,0.0400230115469046
0.167456556082148,0.521444695259594,0.288971547860241,0.0388369624725704
0.169478527607362,0.521645021645022,0.194696024263952,0.0271259237665699
0.13855421686747,0.517060367454068,0.239601318796844,0.0353939603216492
0.135483870967742,0.490566037735849,0.19421436140384,0.0351587631720417
0.133053221288515,0.437869822485207,0.441810413480251,0.0883830017497188
0.155653450807636,0.39193083573487,0.452921334334046,0.0851245540874098
0.208688906128782,0.468379446640316,0.423005553397908,0.050434932495898
0.235144312393888,0.506238859180036,0.461280729731766,0.0498254595720817
0.242942686056459,0.546178343949045,0.450418715400653,0.0414214519573592
