"PDW","PWW","a","b"
0.219349457881568,0.509328358208955,0.379313778588006,0.0458728781463245
0.211775878442545,0.575757575757576,0.362622864678914,0.0536826233886836
0.195688225538972,0.524096385542169,0.253010442370142,0.0341972736100954
0.194805194805195,0.546558704453441,0.308631625690628,0.0429823266682534
0.235883424408015,0.572607260726073,0.343814813847989,0.0592104566765428
0.295728368017525,0.633152173913043,0.371698721036205,0.063839423232491
0.319148936170213,0.66109785202864,0.314749066981476,0.0505430076485365
0.331447963800905,0.655699177438308,0.430658607505241,0.0637809109104474
0.316702819956616,0.614266842800528,0.488034363368041,0.0678547803130072
0.277939747327502,0.593484419263456,0.489432385606215,0.0659179939282937
0.27263479145473,0.614942528735632,0.515785663628435,0.0727444898548287
0.245166959578207,0.532663316582915,0.388760755128726,0.0548176050223554
