"PDW","PWW","a","b"
0.0929512006196747,0.387755102040816,0.458540217975189,0.0781016971650633
0.0876158382476832,0.380952380952381,0.353772891169819,0.0573464354655823
0.118518518518519,0.398340248962656,0.3608293190752,0.0734892807378714
0.152842497670084,0.511904761904762,0.620188771834579,0.128830557858682
0.23773987206823,0.569498069498069,0.607596687804533,0.141784398619915
0.273514851485149,0.633943427620632,0.639292773931285,0.137349839367107
0.334228187919463,0.649789029535865,0.646744764711087,0.156552074683584
0.314516129032258,0.671348314606742,0.762745566843902,0.193106990541999
0.280660377358491,0.586805555555556,0.590561169354547,0.118687189112284
0.217516843118383,0.495535714285714,0.561364516978563,0.111193165750562
0.173199635369189,0.444444444444444,0.395060671461785,0.0782660891154089
0.149328859060403,0.396610169491525,0.311245274215506,0.0707105074902512
