"PDW","PWW","a","b"
0.123727486296006,0.419117647058824,0.249145905097253,0.0735965314796404
0.135371179039301,0.417293233082707,0.354997773705986,0.132495310517458
0.187108325872874,0.478802992518703,0.356371369126778,0.119736002530237
0.292596944770858,0.604761904761905,0.623501209590349,0.136827978975171
0.384969325153374,0.720178372352285,0.664667717889262,0.090617700922246
0.437371663244353,0.789525691699605,0.751393836814606,0.0939149586286147
0.483009708737864,0.825857519788918,0.804337955540302,0.102829477436933
0.458077709611452,0.788679245283019,0.861601755107411,0.128945547946818
0.442028985507246,0.742344244984161,0.874519515449497,0.159529806928518
0.343074968233799,0.645669291338583,0.634573378101702,0.152906833251729
0.257510729613734,0.574955908289242,0.488491486533733,0.124740890319144
0.182905982905983,0.435356200527704,0.325910402479807,0.118484453275633
