"PDW","PWW","a","b"
0.0800898203592814,0.406593406593407,0.117933982523866,0.0248771265870927
0.0933786078098472,0.458536585365854,0.281325953993949,0.0704431666895805
0.131776480400334,0.473333333333333,0.237368207562393,0.0640554666445244
0.201663201663202,0.617357001972387,0.336646752694664,0.0746958002696695
0.278002699055331,0.734877734877735,0.610175102238396,0.0736713735185486
0.362962962962963,0.78794402583423,0.697424890767611,0.0843498051766795
0.419426048565121,0.820657276995305,0.74218588170346,0.0596036590415932
0.407692307692308,0.787575150300601,0.682932529505219,0.0948649290825265
0.392539964476021,0.757174392935982,0.593196100522442,0.098184032843143
0.274826789838337,0.633435582822086,0.458872216907879,0.104412886655942
0.184824902723735,0.569160997732426,0.507123013795538,0.107401070491203
0.126501200960769,0.412639405204461,0.230977939991307,0.0791302417952898
