"PDW","PWW","a","b"
0.500740740740741,0.729534510433387,0.520164270740168,0.0372793312061841
0.448217317487267,0.772609819121447,0.568040267669134,0.0387246298508383
0.314254859611231,0.697095435684647,0.504127869115111,0.0367889396322735
0.0984898227183191,0.509803921568627,0.317386889854806,0.032691501415991
0.0236133992311917,0.376811594202899,0.391316958539435,0.0594947737491538
0.00495594713656388,0.307692307692308,0.346545639665054,0.0436963464175141
0.00426439232409382,0.428571428571429,0.36825429697985,0.05136938754732
0.00585729499467519,0.0833333333333333,1.29007275190379,0.255039094280814
0.0344049633389735,0.2375,0.343002255556081,0.0916418240035332
0.120150187734668,0.405572755417957,0.405451865110863,0.0589518484907395
0.317699115044248,0.508916323731139,0.541032100047275,0.0553367429637742
0.393605292171996,0.646942800788955,0.451591231658407,0.0358059716917951
