"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good"
"2","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good"
"3","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good"
"4","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Fair"
"5","Good","Good","Good","Fair","Good","Fair","Fair","Fair","Fair","Fair","Fair","Fair"
"6","Good","Good","Fair","Fair","Good","Fair","Fair","Fair","Fair","Fair","Fair","Fair"
"7","Good","Good","Fair","Fair","Good","Poor","Fair","Fair","Fair","Fair","Fair","Fair"
"8","Good","Good","Good","Good","Good","Poor","Good","Fair","Good","Fair","Fair","Good"
