"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1","Good","Good","Good","Poor","Poor","Poor","Poor","Poor","Poor","Poor","Poor","Good"
"2","Good","Good","Good","Poor","Poor","Poor","Poor","Poor","Poor","Poor","Good","Good"
"3","Good","Good","Good","Fair","Poor","Poor","Poor","Poor","Poor","Fair","Good","Fair"
"4","Good","Good","Good","Good","Fair","Fair","Good","Fair","Good","Good","Fair","Good"
"5","Good","Good","Good","Good","Fair","Good","Fair","Good","Poor","Good","Good","Good"
"6","Good","Good","Good","Fair","Good","Good","Good","Good","Poor","Good","Good","Good"
"7","Good","Fair","Good","Poor","Good","Good","Good","Good","Fair","Good","Good","Good"
"8","Good","Poor","Fair","Poor","Fair","Fair","Good","Good","Good","Good","Good","Good"
