"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1","Poor","Poor","Poor","Good","Good","Good","Fair","Poor","Poor","Poor","Poor","Poor"
"2","Poor","Fair","Fair","Good","Good","Good","Fair","Fair","Poor","Poor","Poor","Poor"
"3","Good","Good","Good","Good","Good","Good","Good","Fair","Poor","Poor","Poor","Poor"
"4","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good"
"5","Good","Good","Good","Good","Good","Good","Fair","Fair","Good","Fair","Good","Good"
"6","Good","Good","Poor","Fair","Fair","Good","Poor","Poor","Poor","Poor","Good","Good"
"7","Fair","Fair","Poor","Fair","Fair","Good","Poor","Poor","Poor","Poor","Good","Fair"
"8","Good","Fair","Fair","Good","Good","Good","Poor","Fair","Poor","Poor","Good","Fair"
