"","matrix.NA..nrow...12..ncol...1."
"1",0.0801219374458145
"2",0.0890687106740093
"3",0.0972168255896284
"4",0.129403353782401
"5",0.129645726417989
"6",0.128468857325198
"7",0.133765782836655
"8",0.159693266842424
"9",0.152887336648415
"10",0.115385774966286
"11",0.109608733759479
"12",0.100445066275408
