Date_Time,Value
17/06/1965,19.9584
18/06/1965,19.6128
19/06/1965,19.008
20/06/1965,18.4896
21/06/1965,17.9712
22/06/1965,17.3664
23/06/1965,16.848
24/06/1965,16.0704
25/06/1965,14.5152
26/06/1965,13.6512
27/06/1965,13.392
28/06/1965,13.5648
29/06/1965,13.7376
30/06/1965,13.9968
01/07/1965,14.256
02/07/1965,14.5152
03/07/1965,14.688
04/07/1965,14.5152
05/07/1965,14.3424
06/07/1965,14.0832
07/07/1965,13.824
08/07/1965,13.392
09/07/1965,12.96
10/07/1965,12.4416
11/07/1965,12.0096
12/07/1965,11.5776
13/07/1965,11.4912
14/07/1965,11.4912
15/07/1965,11.4048
16/07/1965,11.3184
17/07/1965,11.232
18/07/1965,11.0592
19/07/1965,10.9728
20/07/1965,10.8864
21/07/1965,10.8864
22/07/1965,11.0592
23/07/1965,11.4048
24/07/1965,12.6144
25/07/1965,12.7008
26/07/1965,12.4416
27/07/1965,11.9232
28/07/1965,11.3184
29/07/1965,10.6272
30/07/1965,10.6272
31/07/1965,10.5408
01/08/1965,10.368
02/08/1965,10.1952
03/08/1965,10.0224
04/08/1965,10.1952
05/08/1965,10.2816
06/08/1965,10.1952
07/08/1965,9.6768
08/08/1965,8.8992
09/08/1965,8.0352
10/08/1965,7.6032
11/08/1965,7.6032
12/08/1965,7.5168
13/08/1965,7.0848
14/08/1965,6.8256
15/08/1965,6.6528
16/08/1965,6.48
17/08/1965,6.48
18/08/1965,6.3072
19/08/1965,5.7888
20/08/1965,7.5168
21/08/1965,7.6896
22/08/1965,7.4304
23/08/1965,7.0848
24/08/1965,6.8256
25/08/1965,6.48
26/08/1965,6.2208
27/08/1965,5.8752
28/08/1965,5.616
29/08/1965,5.4432
30/08/1965,5.2704
31/08/1965,5.0976
01/09/1965,4.9248
02/09/1965,5.2704
03/09/1965,5.8752
04/09/1965,6.048
05/09/1965,6.048
06/09/1965,5.2704
07/09/1965,4.5792
08/09/1965,4.4928
09/09/1965,4.32
10/09/1965,4.2336
11/09/1965,4.1472
12/09/1965,4.4064
13/09/1965,3.7152
14/09/1965,3.456
15/09/1965,3.3696
16/09/1965,3.2832
17/09/1965,3.1968
18/09/1965,3.024
19/09/1965,2.9376
20/09/1965,2.8512
21/09/1965,2.5056
22/09/1965,2.16
23/09/1965,1.9872
24/09/1965,1.728
25/09/1965,1.5552
26/09/1965,1.3824
27/09/1965,1.296
28/09/1965,1.1232
29/09/1965,0.9504
30/09/1965,0.6912
01/10/1965,0.6048
02/10/1965,0.5184
03/10/1965,0.5184
04/10/1965,0.5184
05/10/1965,0.432
06/10/1965,0.3456
07/10/1965,0.3456
08/10/1965,0.1728
09/10/1965,0.1728
10/10/1965,0.1728
11/10/1965,0.0864
12/10/1965,0.0864
13/10/1965,0.0864
14/10/1965,0.1728
15/10/1965,0.2592
16/10/1965,0.432
17/10/1965,0.5184
18/10/1965,0.432
19/10/1965,0.0864
20/10/1965,0.1728
21/10/1965,0.0864
22/10/1965,0.0864
23/10/1965,0
24/10/1965,0
25/10/1965,0
26/10/1965,0
27/10/1965,0
28/10/1965,0
29/10/1965,0
30/10/1965,0
31/10/1965,0
01/11/1965,0
02/11/1965,0
03/11/1965,0
04/11/1965,0
05/11/1965,0
06/11/1965,0
07/11/1965,0
08/11/1965,0
09/11/1965,0
10/11/1965,0
11/11/1965,0
12/11/1965,0
13/11/1965,0
14/11/1965,0
15/11/1965,0
16/11/1965,0
17/11/1965,0
18/11/1965,0
19/11/1965,0
20/11/1965,0
21/11/1965,0
22/11/1965,0
23/11/1965,0
24/11/1965,0
25/11/1965,0
26/11/1965,0
27/11/1965,0
28/11/1965,0
29/11/1965,13.3056
30/11/1965,4.1472
01/12/1965,2.9376
02/12/1965,2.9376
03/12/1965,3.3696
04/12/1965,3.9744
05/12/1965,675.3024
06/12/1965,1924.4736
07/12/1965,214.0128
08/12/1965,190.1664
09/12/1965,119.1456
10/12/1965,39.744
11/12/1965,47.6928
12/12/1965,34.0416
13/12/1965,34.7328
14/12/1965,35.5968
15/12/1965,36.4608
16/12/1965,37.3248
17/12/1965,38.1888
18/12/1965,51.1488
19/12/1965,38.7072
20/12/1965,32.5728
21/12/1965,24.192
22/12/1965,17.8848
23/12/1965,13.392
24/12/1965,10.5408
25/12/1965,8.208
26/12/1965,8.7264
27/12/1965,8.4672
28/12/1965,7.6896
29/12/1965,7.6032
30/12/1965,3993.3216
31/12/1965,6598.6272
01/01/1966,2297.6352
02/01/1966,1848.96
03/01/1966,1633.4784
04/01/1966,1415.1456
05/01/1966,1322.9568
06/01/1966,1159.1424
07/01/1966,1041.4656
08/01/1966,947.2896
09/01/1966,1050.1056
10/01/1966,1013.2992
11/01/1966,846.288
12/01/1966,750.4704
13/01/1966,699.84
14/01/1966,789.7824
15/01/1966,711.2448
16/01/1966,1390.0032
17/01/1966,1607.1264
18/01/1966,3060.8064
19/01/1966,3781.296
20/01/1966,4317.6672
21/01/1966,4598.2944
22/01/1966,3402.6048
23/01/1966,2307.4848
24/01/1966,1925.9424
25/01/1966,1458.432
26/01/1966,1612.3968
27/01/1966,1372.5504
28/01/1966,934.416
29/01/1966,1537.4016
30/01/1966,2005.5168
31/01/1966,1680.8256
01/02/1966,2124.4032
02/02/1966,2671.8336
03/02/1966,1986.0768
04/02/1966,3441.1392
05/02/1966,2506.9824
06/02/1966,2488.752
07/02/1966,2250.4608
08/02/1966,2263.9392
09/02/1966,2188.7712
10/02/1966,6441.8112
11/02/1966,17467.2288
12/02/1966,15156.0288
13/02/1966,8449.5744
14/02/1966,4270.4928
15/02/1966,1975.0176
16/02/1966,1301.3568
17/02/1966,1326.9312
18/02/1966,1412.5536
19/02/1966,2152.5696
20/02/1966,2920.6656
21/02/1966,6065.1072
22/02/1966,2077.5744
23/02/1966,1528.0704
24/02/1966,1420.9344
25/02/1966,1313.7984
26/02/1966,1206.576
27/02/1966,1099.44
28/02/1966,992.304
01/03/1966,885.168
02/03/1966,777.9456
03/03/1966,670.8096
04/03/1966,563.6736
05/03/1966,456.5376
06/03/1966,349.3152
07/03/1966,242.1792
08/03/1966,278.8992
09/03/1966,7651.0656
10/03/1966,5290.7904
11/03/1966,1174.0896
12/03/1966,714.528
13/03/1966,558.4896
14/03/1966,440.0352
15/03/1966,355.0176
16/03/1966,298.512
17/03/1966,268.7904
18/03/1966,249.264
19/03/1966,257.7312
20/03/1966,233.4528
21/03/1966,204.2496
22/03/1966,197.9424
23/03/1966,259.8048
24/03/1966,300.7584
25/03/1966,791.2512
26/03/1966,302.1408
27/03/1966,193.8816
28/03/1966,156.384
29/03/1966,133.1424
30/03/1966,118.8
31/03/1966,106.704
01/04/1966,98.496
02/04/1966,90.8928
03/04/1966,85.7952
04/04/1966,81.648
05/04/1966,77.8464
06/04/1966,74.736
07/04/1966,71.6256
08/04/1966,80.9568
09/04/1966,77.8464
10/04/1966,65.4048
11/04/1966,59.2704
12/04/1966,55.3824
13/04/1966,51.408
14/04/1966,47.52
15/04/1966,44.6688
16/04/1966,42.336
17/04/1966,40.8672
18/04/1966,39.3984
19/04/1966,38.3616
20/04/1966,37.4112
21/04/1966,36.8064
22/04/1966,36.288
23/04/1966,35.9424
24/04/1966,35.5104
25/04/1966,35.1648
26/04/1966,34.7328
27/04/1966,34.3008
28/04/1966,33.9552
29/04/1966,33.4368
30/04/1966,32.5728
01/05/1966,32.2272
02/05/1966,31.104
03/05/1966,30.1536
04/05/1966,29.1168
05/05/1966,35.0784
06/05/1966,33.4368
07/05/1966,30.24
08/05/1966,28.944
09/05/1966,27.648
10/05/1966,25.4016
11/05/1966,23.6736
12/05/1966,22.2912
13/05/1966,21.9456
14/05/1966,21.6
15/05/1966,21.2544
16/05/1966,20.8224
17/05/1966,20.3904
18/05/1966,19.872
19/05/1966,19.6992
20/05/1966,19.872
21/05/1966,19.7856
22/05/1966,18.7488
23/05/1966,17.7984
24/05/1966,16.7616
25/05/1966,16.2432
26/05/1966,15.7248
27/05/1966,15.2928
28/05/1966,15.0336
29/05/1966,15.2064
30/05/1966,16.6752
31/05/1966,19.6992
01/06/1966,21.4272
02/06/1966,22.3776
03/06/1966,22.896
04/06/1966,22.9824
05/06/1966,21.5136
06/06/1966,19.2672
07/06/1966,17.1936
08/06/1966,16.9344
09/06/1966,17.1072
10/06/1966,17.1936
11/06/1966,17.1072
12/06/1966,16.848
13/06/1966,16.5024
14/06/1966,15.7248
15/06/1966,15.0336
16/06/1966,14.9472
17/06/1966,15.0336
18/06/1966,15.12
19/06/1966,14.4288
20/06/1966,13.4784
21/06/1966,14.7744
22/06/1966,14.8608
23/06/1966,12.7008
24/06/1966,11.9232
25/06/1966,11.8368
26/06/1966,11.7504
27/06/1966,11.664
28/06/1966,11.5776
29/06/1966,11.4912
30/06/1966,11.4048
01/07/1966,11.232
02/07/1966,11.0592
03/07/1966,10.8864
04/07/1966,10.7136
05/07/1966,10.6272
06/07/1966,10.4544
07/07/1966,10.2816
08/07/1966,10.1088
09/07/1966,9.8496
10/07/1966,9.5904
11/07/1966,9.3312
12/07/1966,9.072
13/07/1966,8.8128
14/07/1966,8.5536
15/07/1966,8.2944
16/07/1966,8.1216
17/07/1966,8.0352
18/07/1966,7.8624
19/07/1966,7.776
20/07/1966,7.6032
21/07/1966,7.5168
22/07/1966,7.344
23/07/1966,7.2576
24/07/1966,7.0848
25/07/1966,6.9984
26/07/1966,6.7392
27/07/1966,6.48
28/07/1966,6.1344
29/07/1966,5.8752
30/07/1966,5.616
31/07/1966,5.2704
01/08/1966,5.0112
02/08/1966,4.8384
03/08/1966,4.5792
04/08/1966,4.32
05/08/1966,4.1472
06/08/1966,4.4064
07/08/1966,5.3568
08/08/1966,6.912
09/08/1966,6.048
10/08/1966,5.616
11/08/1966,5.3568
12/08/1966,4.8384
13/08/1966,3.9744
14/08/1966,3.024
15/08/1966,3.7152
16/08/1966,3.888
17/08/1966,3.9744
18/08/1966,4.2336
19/08/1966,4.2336
20/08/1966,4.2336
21/08/1966,4.2336
22/08/1966,4.32
23/08/1966,3.6288
24/08/1966,3.1104
25/08/1966,2.592
26/08/1966,2.0736
27/08/1966,2.0736
28/08/1966,2.16
29/08/1966,2.5056
30/08/1966,2.4192
31/08/1966,2.2464
01/09/1966,2.2464
02/09/1966,3.2832
03/09/1966,2.7648
04/09/1966,2.3328
05/09/1966,2.0736
06/09/1966,1.8144
07/09/1966,1.6416
08/09/1966,1.3824
09/09/1966,1.5552
10/09/1966,1.728
11/09/1966,1.728
12/09/1966,1.728
13/09/1966,1.4688
14/09/1966,1.2096
15/09/1966,1.1232
16/09/1966,1.9872
17/09/1966,1.2096
18/09/1966,0.864
19/09/1966,0.6048
20/09/1966,0.5184
21/09/1966,0.432
22/09/1966,0.3456
23/09/1966,0.3456
24/09/1966,0.432
25/09/1966,0.6912
26/09/1966,0.6912
27/09/1966,1.9008
28/09/1966,6.5664
29/09/1966,3.5424
30/09/1966,2.3328
01/10/1966,2.0736
02/10/1966,2.0736
03/10/1966,2.16
04/10/1966,896.4
05/10/1966,89.0784
06/10/1966,19.6128
07/10/1966,9.5904
08/10/1966,5.2704
09/10/1966,4.0608
10/10/1966,3.3696
11/10/1966,2.6784
12/10/1966,2.2464
13/10/1966,1.8144
14/10/1966,1.5552
15/10/1966,1.3824
16/10/1966,1.2096
17/10/1966,1.3824
18/10/1966,1.4688
19/10/1966,1.6416
20/10/1966,1.728
21/10/1966,1.9008
22/10/1966,1.9008
23/10/1966,1.5552
24/10/1966,1.1232
25/10/1966,0.7776
26/10/1966,0.432
27/10/1966,0.0864
28/10/1966,0.0864
29/10/1966,0.0864
30/10/1966,0
