"","x"
"1",0.241681260945709
"2",0.227091633466135
"3",0.207826086956522
"4",0.20768526989936
"5",0.260355029585799
"6",0.479771560596634
"7",0.649264866119714
"8",0.0999135381946291
"9",0.341890315052509
"10",0.290091930541369
"11",0.291845493562232
"12",0.265249537892791
"13",0.534569983136594
"14",0.603119584055459
"15",0.566787003610108
"16",0.593525179856115
"17",0.617391304347826
"18",0.0720423067739657
"19",0.987565068746789
"20",0.678264451308718
"21",0.643552311435523
"22",0.623015873015873
"23",0.635876840696118
"24",0.562021439509954
"25",0.379313778588006
"26",0.362617061098357
"27",0.253010442370142
"28",0.308631625690628
"29",0.343814813847989
"30",10.5081659330077
"31",11.1722739756119
"32",9.59500418656105
"33",0.488034363368041
"34",0.489432385606215
"35",0.515785663628435
"36",0.388760755128726
"37",0.0458728781463245
"38",0.0536817642276662
"39",0.0341972736100954
"40",0.0429823266682534
"41",0.0592104566765428
"42",7.85981625410438
"43",4.6097902792387
"44",0.288636748959729
"45",0.0678547803130072
"46",0.0659179939282937
"47",0.0727444898548287
"48",0.0548176050223554
