"","X1","X2"
"1",0.383505782357887,0.041817064164349
"2",0.36813591450002,0.05570243903705
"3",0.251818968876459,0.0344350294865224
"4",0.306988822747951,0.0429758620289232
"5",0.352249359063872,0.0572070450244678
"6",0.379128903485894,0.0616422152907043
"7",0.320329286663459,0.0431636298572688
"8",0.433736593135963,0.0553310179277404
"9",0.475760946454831,0.0712174642442227
"10",0.500757731767129,0.0600622453460107
"11",0.519161713167239,0.0749501093647256
"12",0.388932656924129,0.0555053738920161
