"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"10th","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good"
"25th","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good"
"50th","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good"
"75th","Fair","Good","Fair","Fair","Good","Fair","Good","Fair","Poor","Fair","Fair","Fair"
"90th","Good","Good","Fair","Fair","Good","Good","Fair","Poor","Poor","Fair","Poor","Fair"
"95th","Good","Good","Good","Fair","Good","Fair","Poor","Fair","Fair","Poor","Poor","Fair"
"99th","Good","Good","Good","Good","Good","Fair","Fair","Fair","Good","Fair","Fair","Good"
