Date_Time,Value
23/08/1950,89.7696
24/08/1950,86.2272
25/08/1950,82.7712
26/08/1950,79.3152
27/08/1950,75.8592
28/08/1950,79.6608
29/08/1950,99.1008
30/08/1950,106.0992
31/08/1950,84.8448
1/09/1950,71.0208
2/09/1950,66.096
3/09/1950,61.1712
4/09/1950,56.3328
5/09/1950,51.408
6/09/1950,46.4832
7/09/1950,41.5584
8/09/1950,39.1392
9/09/1950,39.1392
10/09/1950,39.1392
11/09/1950,62.0352
12/09/1950,121.9968
13/09/1950,274.5792
14/09/1950,282.528
15/09/1950,122.6016
16/09/1950,92.016
17/09/1950,79.92
18/09/1950,123.552
19/09/1950,78.2784
20/09/1950,80.1792
21/09/1950,77.4144
22/09/1950,50.544
23/09/1950,46.7424
24/09/1950,45.0144
25/09/1950,43.2
26/09/1950,41.3856
27/09/1950,39.6576
28/09/1950,37.8432
29/09/1950,36.0288
30/09/1950,34.3008
1/10/1950,32.4864
2/10/1950,34.4736
3/10/1950,107.9136
4/10/1950,190.5984
5/10/1950,115.4304
6/10/1950,79.7472
7/10/1950,68.7744
8/10/1950,59.2704
9/10/1950,50.8896
10/10/1950,43.2
11/10/1950,35.6832
12/10/1950,37.9296
13/10/1950,85.1904
14/10/1950,107.568
15/10/1950,76.3776
16/10/1950,68.688
17/10/1950,51.6672
18/10/1950,12.0096
19/10/1950,97.2
20/10/1950,1795.7376
21/10/1950,7022.2464
22/10/1950,1906.0704
23/10/1950,1099.2672
24/10/1950,550.8
25/10/1950,370.9152
26/10/1950,288.9216
27/10/1950,249.696
28/10/1950,200.2752
29/10/1950,144.0288
30/10/1950,117.1584
31/10/1950,99.5328
1/11/1950,85.4496
2/11/1950,76.1184
3/11/1950,75.4272
4/11/1950,75.168
5/11/1950,68.256
6/11/1950,50.6304
7/11/1950,44.7552
8/11/1950,39.5712
9/11/1950,50.0256
10/11/1950,332.1216
11/11/1950,144.0288
12/11/1950,89.6832
13/11/1950,51.84
14/11/1950,51.9264
15/11/1950,54.5184
16/11/1950,57.024
17/11/1950,59.5296
18/11/1950,62.0352
19/11/1950,64.6272
20/11/1950,67.1328
21/11/1950,69.6384
22/11/1950,72.144
23/11/1950,62.8992
24/11/1950,43.5456
25/11/1950,111.1104
26/11/1950,99.1872
27/11/1950,62.8992
28/11/1950,55.5552
29/11/1950,49.9392
30/11/1950,42.8544
1/12/1950,42.336
2/12/1950,46.3104
3/12/1950,47.6928
4/12/1950,44.7552
5/12/1950,41.8176
6/12/1950,38.88
7/12/1950,35.9424
8/12/1950,33.0048
9/12/1950,30.0672
10/12/1950,27.1296
11/12/1950,24.5376
12/12/1950,22.8096
13/12/1950,21.0816
14/12/1950,19.3536
15/12/1950,17.5392
16/12/1950,15.8112
17/12/1950,14.5152
18/12/1950,14.1696
19/12/1950,14.0832
20/12/1950,15.8112
21/12/1950,17.9712
22/12/1950,20.1312
23/12/1950,22.7232
24/12/1950,25.488
25/12/1950,43.2864
26/12/1950,68.6016
27/12/1950,58.9248
28/12/1950,49.248
29/12/1950,39.5712
30/12/1950,29.8944
31/12/1950,20.2176
1/01/1951,24.9696
2/01/1951,70.5024
3/01/1951,55.0368
4/01/1951,34.8192
5/01/1951,26.1792
6/01/1951,22.464
7/01/1951,19.6992
8/01/1951,19.2672
9/01/1951,17.9712
10/01/1951,16.5888
11/01/1951,15.2928
12/01/1951,13.9968
13/01/1951,12.6144
14/01/1951,11.3184
15/01/1951,12.096
16/01/1951,16.2432
17/01/1951,15.2928
18/01/1951,435.1968
19/01/1951,7372.1664
20/01/1951,2854.3968
21/01/1951,3895.1712
22/01/1951,1075.9392
23/01/1951,3234.816
24/01/1951,3683.232
25/01/1951,3023.7408
26/01/1951,2041.8912
27/01/1951,784.6848
28/01/1951,567.1296
29/01/1951,266.1984
30/01/1951,207.9648
31/01/1951,155.0016
1/02/1951,112.2336
2/02/1951,86.7456
3/02/1951,77.4144
4/02/1951,68.8608
5/02/1951,61.6032
6/02/1951,54.3456
7/02/1951,48.4704
8/02/1951,46.1376
9/02/1951,43.8912
10/02/1951,41.6448
11/02/1951,39.3984
12/02/1951,37.2384
13/02/1951,34.992
14/02/1951,32.7456
15/02/1951,32.2272
16/02/1951,33.4368
17/02/1951,34.6464
18/02/1951,38.6208
19/02/1951,48.2112
20/02/1951,71.1936
21/02/1951,1278.8064
22/02/1951,5407.2576
23/02/1951,3504.7296
24/02/1951,1753.8336
25/02/1951,853.2
26/02/1951,383.2704
27/02/1951,311.9904
28/02/1951,235.9584
1/03/1951,174.96
2/03/1951,131.1552
